Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides LG1	Peptides LG2	Razor + unique peptides LG1	Razor + unique peptides LG2	Unique peptides LG1	Unique peptides LG2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type LG1	Identification type LG2	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/L LG1	Ratio H/L LG2	Ratio H/L normalized LG1	Ratio H/L normalized LG2	Ratio H/L variability [%] LG1	Ratio H/L variability [%] LG2	Ratio H/L count LG1	Ratio H/L count LG2	Ratio H/L iso-count LG1	Ratio H/L iso-count LG2	Ratio H/L type LG1	Ratio H/L type LG2	Sequence coverage LG1 [%]	Sequence coverage LG2 [%]	Intensity	Intensity L	Intensity H	Intensity LG1	Intensity L LG1	Intensity H LG1	Intensity LG2	Intensity L LG2	Intensity H LG2	iBAQ	iBAQ L	iBAQ H	iBAQ LG1	iBAQ L LG1	iBAQ H LG1	iBAQ LG2	iBAQ L LG2	iBAQ H LG2	LFQ intensity L LG1	LFQ intensity H LG1	LFQ intensity L LG2	LFQ intensity H LG2	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Tb927.10.16120:mRNA-p1	Tb927.10.16120:mRNA-p1	11	11	11	Tb927.10.16120:mRNA-p1 | transcript=Tb927.10.16120:mRNA | gene=Tb927.10.16120 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=inosine-5-monophosphate dehydrogenase | transcript_product=inosine-5-monophosphate dehydrogenase | location=Tb927_10	1	11	11	11	11	5	11	5	11	5	24.2	24.2	24.2	55.694	512	512	1	19	0	89.241	By MS/MS	By MS/MS	0.29913	0.56755	9.9024	18	4	Leave out requantified	0.30888	0.2063	0.57817	0.6454	10.581	180.23	13	5	1	3	Leave out requantified	Median	24.2	10.5	5009700	2833000	2176700	2517200	1851600	665640	2492500	981460	1511100	178920	101180	77740	89900	66127	23773	89019	35052	53967	5160000	2983300	1321200	6884700				68	70;125;282;298;565;566;579;729;880;911;950	True;True;True;True;True;True;True;True;True;True;True	75;133;134;313;332;333;639;640;653;817;978;1012;1053	114;213;214;215;216;495;523;524;1054;1055;1080;1081;1337;1338;1611;1612;1668;1669;1727	173;358;359;360;361;822;878;879;1715;1716;1717;1772;1773;1774;2187;2188;2646;2647;2648;2649;2729;2730;2731;2818	173;358;822;879;1715;1716;1774;2188;2648;2729;2818	66;67;68;69;70	112;173;192;408;414
Tb927.9.15360:mRNA-p1;Tb927.10.190:mRNA-p1	Tb927.9.15360:mRNA-p1;Tb927.10.190:mRNA-p1	1;1	1;1	1;1	Tb927.9.15360:mRNA-p1 | transcript=Tb927.9.15360:mRNA | gene=Tb927.9.15360 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=40S ribosomal protein S6, putative | transcript_product=40S ribosomal protein S6, putative | location=Tb927_09_v5.1:23843	2	1	1	1	1	0	1	0	1	0	6.4	6.4	6.4	28.476	250	250;250	1	1	0	8.2774	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	6.4	0	172630	159280	13344	172630	159280	13344	0	0	0	17263	15928	1334.4	17263	15928	1334.4	0	0	0	245380	120580	0	0				69	848	True	944	1557	2572	2572		
Tb927.10.2010:mRNA-p1;Tb11.v5.0732.1-p1	Tb927.10.2010:mRNA-p1;Tb11.v5.0732.1-p1	21;18	21;18	2;1	Tb927.10.2010:mRNA-p1 | transcript=Tb927.10.2010:mRNA | gene=Tb927.10.2010 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hexokinase | transcript_product=hexokinase | location=Tb927_10_v5.1:526772-528187(+) | protein_length=471 | sequence_SO=c	2	21	21	2	17	18	17	18	2	2	45	45	7.4	51.295	471	471;416	1	54	0	191.55	By MS/MS	By MS/MS	0.3823	0.97189	23.386	51	12	Leave out requantified	0.46719	0.30486	0.91202	1.0911	14.956	27.007	24	27	2	10	Leave out requantified	Leave out requantified	41.8	41.2	31712000	22912000	8800900	12232000	8166300	4065900	19480000	14745000	4735000	1174500	848580	325960	453040	302450	150590	721490	546120	175370	20914000	19074000	11524000	21570000				70	9;59;78;136;170;213;214;217;218;255;307;385;497;542;547;550;640;650;813;829;872	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	11;63;83;149;150;191;238;239;240;244;245;283;345;346;433;557;609;610;611;617;621;720;731;906;924;970	17;18;97;98;128;129;130;131;132;133;237;238;239;294;295;368;369;370;371;372;376;377;378;446;447;548;549;550;683;937;938;939;1011;1012;1013;1014;1015;1016;1017;1018;1025;1031;1197;1215;1216;1217;1218;1219;1486;1487;1523;1524;1597;1598	21;22;23;24;25;26;27;28;149;150;151;152;153;200;201;202;203;204;205;206;207;208;389;390;391;474;475;476;477;478;479;480;481;610;611;612;613;614;615;616;617;618;619;623;624;625;626;627;628;629;739;740;741;742;743;744;745;746;925;926;927;928;929;930;931;932;933;1147;1148;1149;1533;1534;1535;1536;1642;1643;1644;1645;1646;1647;1648;1649;1650;1651;1652;1653;1654;1661;1662;1678;1679;1680;1681;1682;1938;1966;1967;1968;1969;1970;1971;1972;2447;2448;2449;2450;2451;2452;2453;2454;2524;2525;2526;2527;2528;2529;2530;2531;2628;2629;2630;2631;2632;2633	25;152;201;389;479;613;619;627;629;744;929;1149;1533;1650;1662;1679;1938;1967;2450;2529;2631	71;72;73;74;75;76	69;268;305;309;349;466
Tb927.10.2020:mRNA-p1	Tb927.10.2020:mRNA-p1	20	1	1	Tb927.10.2020:mRNA-p1 | transcript=Tb927.10.2020:mRNA | gene=Tb927.10.2020 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hexokinase | transcript_product=hexokinase | location=Tb927_10_v5.1:529818-531233(+) | protein_length=471 | sequence_SO=c	1	20	1	1	16	17	1	1	1	1	41.2	3.6	3.6	51.148	471	471	1	4	0	13.196	By MS/MS	By MS/MS	0.31908	0.80498	12.057	4	0	Median	0.44295	0.23014	0.83754	0.72827	5.8242	14.38	2	2	0	0	Median	Median	38	37.4	765000	579760	185250	295880	202020	93861	469120	377730	91384	28333	21472	6860.9	10959	7482.4	3476.3	17375	13990	3384.6	0	0	326320	237650				71	9;59;78;170;213;214;217;218;255;308;385;497;542;547;550;640;650;813;829;872	False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False	11;63;83;191;238;239;240;244;245;283;347;348;433;557;609;610;611;617;621;720;731;906;924;970	17;18;97;98;128;129;130;131;132;133;294;295;368;369;370;371;372;376;377;378;446;447;551;552;553;554;683;937;938;939;1011;1012;1013;1014;1015;1016;1017;1018;1025;1031;1197;1215;1216;1217;1218;1219;1486;1487;1523;1524;1597;1598	21;22;23;24;25;26;27;28;149;150;151;152;153;200;201;202;203;204;205;206;207;208;474;475;476;477;478;479;480;481;610;611;612;613;614;615;616;617;618;619;623;624;625;626;627;628;629;739;740;741;742;743;744;745;746;934;935;936;937;938;939;940;1147;1148;1149;1533;1534;1535;1536;1642;1643;1644;1645;1646;1647;1648;1649;1650;1651;1652;1653;1654;1661;1662;1678;1679;1680;1681;1682;1938;1966;1967;1968;1969;1970;1971;1972;2447;2448;2449;2450;2451;2452;2453;2454;2524;2525;2526;2527;2528;2529;2530;2531;2628;2629;2630;2631;2632;2633	25;152;201;479;613;619;627;629;744;937;1149;1533;1650;1662;1679;1938;1967;2450;2529;2631	72;74;75;76;77	69;268;305;309;349
Tb927.10.2190:mRNA-p1	Tb927.10.2190:mRNA-p1	1	1	1	Tb927.10.2190:mRNA-p1 | transcript=Tb927.10.2190:mRNA | gene=Tb927.10.2190 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Protein of unknown function (DUF667), putative | transcript_product=Protein of unknown function (DUF667), putative | loca	1	1	1	1	0	1	0	1	0	1	3.7	3.7	3.7	34.552	294	294	1	1	0	7.2907		By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	3.7	108050	83457	24595	0	0	0	108050	83457	24595	9004.3	6954.8	2049.6	0	0	0	9004.3	6954.8	2049.6	0	0	79972	138240				72	96	True	102	168	280;281	281		
Tb927.10.6370:mRNA-p1;Tb927.10.220:mRNA-p1	Tb927.10.6370:mRNA-p1;Tb927.10.220:mRNA-p1	1;1	1;1	1;1	Tb927.10.6370:mRNA-p1 | transcript=Tb927.10.6370:mRNA | gene=Tb927.10.6370 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=60S ribosomal proteins L37, putative | transcript_product=60S ribosomal proteins L37, putative | location=Tb927_10_v5.1:1	2	1	1	1	1	0	1	0	1	0	19.4	19.4	19.4	10.458	93	93;93	1	1	0	10.111	By MS/MS		NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	0	0	Median	Median	19.4	0	104270	80897	23370	104270	80897	23370	0	0	0	34756	26966	7790.1	34756	26966	7790.1	0	0	0	124620	211180	0	0				73	807	True	900	1478	2438	2438		
Tb927.10.240:mRNA-p1	Tb927.10.240:mRNA-p1	3	3	3	Tb927.10.240:mRNA-p1 | transcript=Tb927.10.240:mRNA | gene=Tb927.10.240 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=peroxin 14, putative | transcript_product=peroxin 14, putative | location=Tb927_10_v5.1:78627-79727(+) | protein_length=366 	1	3	3	3	1	2	1	2	1	2	9	9	9	39.937	366	366	1	3	0	18.576	By MS/MS	By MS/MS	0.39406	1.1276	43.215	3	0	Leave out requantified	NaN	0.46931	NaN	1.332	NaN	23.557	1	2	0	0	Median	Median	3.3	5.7	292330	210810	81523	77270	53915	23355	215060	156890	58168	16241	11712	4529	4292.8	2995.3	1297.5	11948	8716.2	3231.5	0	0	192100	255880				74	293;696;889	True;True;True	324;781;988	512;1286;1628	853;2074;2075;2668	853;2075;2668		
Tb927.10.2560:mRNA-p1	Tb927.10.2560:mRNA-p1	3	3	3	Tb927.10.2560:mRNA-p1 | transcript=Tb927.10.2560:mRNA | gene=Tb927.10.2560 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=mitochondrial malate dehydrogenase | transcript_product=mitochondrial malate dehydrogenase | location=Tb927_10_v5.1:66328	1	3	3	3	3	0	3	0	3	0	13.5	13.5	13.5	33.188	318	318	1	3	0	23.564	By MS/MS		0.07668	0.1449	38.211	3	3	Median	0.07668	NaN	0.1449	NaN	38.211	NaN	3	0	3	0	Median	Median	13.5	0	571800	532720	39080	571800	532720	39080	0	0	0	38120	35515	2605.3	38120	35515	2605.3	0	0	0	1434100	207800	0	0				75	85;378;458	True;True;True	90;425;514	149;673;841	243;1137;1392	243;1137;1392		
Tb927.10.3210:mRNA-p1	Tb927.10.3210:mRNA-p1	6	6	6	Tb927.10.3210:mRNA-p1 | transcript=Tb927.10.3210:mRNA | gene=Tb927.10.3210 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=delta-1-pyrroline-5-carboxylate dehydrogenase, putative | transcript_product=delta-1-pyrroline-5-carboxylate dehydrogenas	1	6	6	6	6	3	6	3	6	3	12.8	12.8	12.8	62.036	561	561	1	11	0	40.877	By MS/MS	By MS/MS	0.095189	0.18799	44.424	9	9	Median	0.082372	0.11564	0.15698	0.34253	44.477	9.82	6	3	6	3	Median	Plateau	12.8	6.8	1378000	1245400	132630	988510	887710	100800	389510	357690	31826	39372	35583	3789.4	28243	25363	2880.1	11129	10220	909.3	2447700	384230	392300	0				76	113;261;333;537;660;923	True;True;True;True;True;True	120;290;377;602;603;741;1024	196;197;198;457;596;597;1001;1002;1003;1232;1686	329;330;331;768;1017;1018;1019;1631;1632;1633;1989;2753	329;768;1017;1631;1989;2753	78	23
Tb927.11.14130:mRNA-p1;Tb927.10.3840:mRNA-p1	Tb927.11.14130:mRNA-p1;Tb927.10.3840:mRNA-p1	5;5	5;5	5;5	Tb927.11.14130:mRNA-p1 | transcript=Tb927.11.14130:mRNA | gene=Tb927.11.14130 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ribosomal protein L18, putative | transcript_product=ribosomal protein L18, putative | location=Tb927_11_v5.1:3745050-	2	5	5	5	5	0	5	0	5	0	30.2	30.2	30.2	20.904	179	179;179	1	5	0	31.243	By MS/MS		0.068634	0.11862	14.474	4	4	Median	0.068634	NaN	0.11862	NaN	14.474	NaN	4	0	4	0	Median	Median	30.2	0	915890	843220	72671	915890	843220	72671	0	0	0	91589	84322	7267.1	91589	84322	7267.1	0	0	0	2744500	325550	0	0				77	34;108;226;721;934	True;True;True;True;True	36;114;254;807;1036	53;188;389;1321;1703	82;317;641;2156;2782	82;317;641;2156;2782	79	92
Tb927.10.4120.2:mRNA-p1;Tb927.10.4110:mRNA-p1;Tb927.10.4120.1:mRNA-p1	Tb927.10.4120.2:mRNA-p1;Tb927.10.4110:mRNA-p1;Tb927.10.4120.1:mRNA-p1	2;2;2	2;2;2	2;2;2	Tb927.10.4120.2:mRNA-p1 | transcript=Tb927.10.4120.2:mRNA | gene=Tb927.10.4120 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=60S ribosomal protein L30 | transcript_product=60S ribosomal protein L30 | location=Tb927_10_v5.1:1082807-1083124(-) 	3	2	2	2	2	1	2	1	2	1	21	21	21	11.512	105	105;105;114	1	3	0	14.795	By MS/MS	By MS/MS	0.13528	0.25878	54.134	3	2	Median	0.13051	NaN	0.23725	NaN	12.286	NaN	2	1	1	1	Median	Median	21	9.5	435090	372210	62878	371690	325020	46676	63392	47190	16202	72514	62035	10480	61949	54170	7779.3	10565	7865	2700.3	959420	227620	0	0				78	418;959	True;True	470;1063	749;1741;1742	1254;2839;2840	1254;2839		
Tb927.10.5370:mRNA-p1;Tb927.10.5360:mRNA-p1	Tb927.10.5370:mRNA-p1;Tb927.10.5360:mRNA-p1	1;1	1;1	1;1	Tb927.10.5370:mRNA-p1 | transcript=Tb927.10.5370:mRNA | gene=Tb927.10.5370 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=40S ribosomal protein S10, putative | transcript_product=40S ribosomal protein S10, putative | location=Tb927_10_v5.1:134	2	1	1	1	1	0	1	0	1	0	6.4	6.4	6.4	19.285	172	172;172	1	1	0	7.0272	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	6.4	0	70762	64699	6062.7	70762	64699	6062.7	0	0	0	10109	9242.8	866.11	10109	9242.8	866.11	0	0	0	99670	54785	0	0				79	228	True	256	391	644	644		
Tb927.10.5480:mRNA-p1;Tb927.10.5460:mRNA-p1	Tb927.10.5480:mRNA-p1;Tb927.10.5460:mRNA-p1	1;1	1;1	1;1	Tb927.10.5480:mRNA-p1 | transcript=Tb927.10.5480:mRNA | gene=Tb927.10.5480 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=60S ribosomal protein L24, putative | transcript_product=60S ribosomal protein L24, putative | location=Tb927_10_v5.1:137	2	1	1	1	1	0	1	0	1	0	11.2	11.2	11.2	14.595	125	125;125	1	1	0	8.3733	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	11.2	0	78488	71101	7387.8	78488	71101	7387.8	0	0	0	15698	14220	1477.6	15698	14220	1477.6	0	0	0	109530	66759	0	0				80	45	True	47	70	108	108		
Tb927.10.5760:mRNA-p1	Tb927.10.5760:mRNA-p1	1	1	1	Tb927.10.5760:mRNA-p1 | transcript=Tb927.10.5760:mRNA | gene=Tb927.10.5760 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=adenylate kinase, putative | transcript_product=adenylate kinase, putative | location=Tb927_10_v5.1:1429344-1429991(-) | 	1	1	1	1	1	1	1	1	1	1	7	7	7	24.31	215	215	1	2	0	8.6882	By MS/MS	By MS/MS	0.28012	0.6968	8.4125	2	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	1	0	0	Median	Median	7	7	384030	283550	100480	118950	83611	35338	265080	199940	65139	34912	25777	9134.3	10814	7601	3212.5	24098	18176	5921.8	0	0	191590	366140				81	870	True	968	1594;1595	2624;2625;2626	2626		
Tb927.10.6510:mRNA-p1;Tb927.10.6400:mRNA-p1	Tb927.10.6510:mRNA-p1;Tb927.10.6400:mRNA-p1	16;16	16;16	16;16	Tb927.10.6510:mRNA-p1 | transcript=Tb927.10.6510:mRNA | gene=Tb927.10.6510 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=chaperonin HSP60, mitochondrial precursor | transcript_product=chaperonin HSP60, mitochondrial precursor | location=Tb927	2	16	16	16	15	3	15	3	15	3	37	37	37	59.503	562	562;562	1	23	0	139.74	By MS/MS	By MS/MS	0.069481	0.13467	109.29	20	17	Leave out requantified	0.069481	0.12656	0.13467	0.35993	109.29	49.73	17	3	14	3	Leave out requantified	Median	34	8	5977900	5529400	448430	5687100	5271300	415870	290720	258150	32568	181150	167560	13589	172340	159740	12602	8809.6	7822.7	986.91	12568000	1692500	247370	0				82	14;46;60;87;133;201;332;600;681;682;753;793;849;853;867;960	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	16;48;64;92;144;145;146;225;376;678;762;763;764;843;885;945;949;965;1064;1065	24;71;72;99;151;152;153;231;232;233;345;595;1130;1260;1261;1262;1392;1460;1558;1567;1590;1743;1744	34;35;109;110;154;245;246;247;381;382;383;564;1016;1843;2033;2034;2035;2305;2413;2573;2588;2620;2841;2842	34;109;154;246;381;564;1016;1843;2033;2035;2305;2413;2573;2588;2620;2842	80;81;82;83	123;351;352;502
Tb927.10.7340:mRNA-p1;Tb927.10.7330:mRNA-p1	Tb927.10.7340:mRNA-p1;Tb927.10.7330:mRNA-p1	1;1	1;1	1;1	Tb927.10.7340:mRNA-p1 | transcript=Tb927.10.7340:mRNA | gene=Tb927.10.7340 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=40S ribosomal protein S24E, putative | transcript_product=40S ribosomal protein S24E, putative | location=Tb927_10_v5.1:1	2	1	1	1	1	0	1	0	1	0	9.5	9.5	9.5	15.683	137	137;137	1	1	0	10.75	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	9.5	0	160100	133920	26188	160100	133920	26188	0	0	0	53368	44639	8729.5	53368	44639	8729.5	0	0	0	206300	236650	0	0				83	822	True	916	1506	2485	2485		
Tb927.10.7410:mRNA-p1	Tb927.10.7410:mRNA-p1	10	10	10	Tb927.10.7410:mRNA-p1 | transcript=Tb927.10.7410:mRNA | gene=Tb927.10.7410 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=succinyl-CoA ligase [GDP-forming] beta-chain, putative | transcript_product=succinyl-CoA ligase [GDP-forming] beta-chain,	1	10	10	10	10	1	10	1	10	1	33.9	33.9	33.9	44.905	419	419	1	11	0	73.862	By MS/MS	By MS/MS	0.091368	0.17527	44.471	11	9	Median	0.093255	NaN	0.18139	NaN	46.798	NaN	10	1	8	1	Median	Median	33.9	2.4	2366600	2186200	180450	2294400	2119100	175270	72255	67082	5172.5	102900	95052	7845.5	99756	92135	7620.6	3141.5	2916.6	224.89	5360600	972360	0	0				84	0;104;117;202;299;397;515;546;609;736	True;True;True;True;True;True;True;True;True;True	0;110;125;226;334;447;576;616;688;824	0;1;180;204;346;525;702;968;1024;1147;1347	0;1;298;341;565;880;1170;1574;1575;1660;1865;2197	0;298;341;565;880;1170;1574;1660;1865;2197	84;85;86	77;104;160
Tb927.10.7570:mRNA-p1;Tb11.v5.0774.1-p1	Tb927.10.7570:mRNA-p1	3;1	3;1	3;1	Tb927.10.7570:mRNA-p1 | transcript=Tb927.10.7570:mRNA | gene=Tb927.10.7570 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=dihydrolipoamide acetyltransferase E2 subunit, putative | transcript_product=dihydrolipoamide acetyltransferase E2 subuni	2	3	3	3	3	1	3	1	3	1	8.2	8.2	8.2	48.107	451	451;197	1	4	0	22.882	By MS/MS	By MS/MS	0.10416	0.19168	105.95	4	3	Median	0.074598	NaN	0.12887	NaN	48.563	NaN	3	1	3	0	Median	Median	8.2	3.3	455210	374990	80222	275790	253990	21808	179420	121000	58414	22760	18749	4011.1	13790	12699	1090.4	8970.8	6050	2920.7	782040	100780	0	0				85	176;296;605	True;True;True	197;329;684	301;520;1141;1142	487;875;1858;1859;1860	487;875;1858		
Tb927.10.8940:mRNA-p1	Tb927.10.8940:mRNA-p1	6	6	6	Tb927.10.8940:mRNA-p1 | transcript=Tb927.10.8940:mRNA | gene=Tb927.10.8940 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=flagellum targeting protein kharon1, putative | transcript_product=flagellum targeting protein kharon1, putative | locati	1	6	6	6	6	1	6	1	6	1	16.8	16.8	16.8	45.398	411	411	1	7	0	39.558	By MS/MS	By MS/MS	0.18985	0.33743	21.135	7	4	Leave out requantified	0.18985	NaN	0.33743	NaN	21.135	NaN	6	1	3	1	Leave out requantified	Median	16.8	4.4	622760	516890	105870	527470	430820	96646	95288	86064	9223.6	31138	25844	5293.5	26373	21541	4832.3	4764.4	4303.2	461.18	1345600	454060	0	0				86	147;321;331;545;669;954	True;True;True;True;True;True	164;364;375;615;750;1058	257;579;594;1023;1244;1245;1733	414;988;1015;1659;2013;2014;2825	414;988;1015;1659;2013;2825		
Tb927.10.9570:mRNA-p1;Tb11.v5.0579.1-p1	Tb927.10.9570:mRNA-p1;Tb11.v5.0579.1-p1	2;1	2;1	2;1	Tb927.10.9570:mRNA-p1 | transcript=Tb927.10.9570:mRNA | gene=Tb927.10.9570 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=paraflagellar rod component, putative | transcript_product=paraflagellar rod component, putative | location=Tb927_10_v5.1	2	2	2	2	0	2	0	2	0	2	2.1	2.1	2.1	118.67	1082	1082;608	1	2	0	14.446		By MS/MS	0.43885	1.1643	28.811	2	0	Median	NaN	0.43885	NaN	1.1643	NaN	28.811	0	2	0	0	Median	Median	0	2.1	114240	77068	37176	0	0	0	114240	77068	37176	2040.1	1376.2	663.85	0	0	0	2040.1	1376.2	663.85	0	0	115130	134040				87	720;749	True;True	806;839	1320;1388	2155;2291	2155;2291		
Tb927.10.9640:mRNA-p1	Tb927.10.9640:mRNA-p1	1	1	1	Tb927.10.9640:mRNA-p1 | transcript=Tb927.10.9640:mRNA | gene=Tb927.10.9640 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_10_v5.1:2375341-237	1	1	1	1	1	1	1	1	1	1	2.9	2.9	2.9	39.29	341	341	1	5	0	6.7068	By MS/MS	By MS/MS	0.013299	0.02494	155.06	4	4	Median	NaN	0.016584	NaN	0.026706	NaN	188.82	1	3	1	3	Median	Median	2.9	2.9	8015400	7647800	367550	1111700	1104500	7235.1	6903700	6543400	360320	421860	402520	19345	58510	58130	380.79	363350	344390	18964	0	0	23470000	626790				88	356	True	402	633;634;635;636;637	1059;1060;1061;1062;1063;1064;1065;1066;1067;1068;1069;1070;1071	1060		
Tb927.11.10160:mRNA-p1;Tb927.10.9800:mRNA-p1	Tb927.11.10160:mRNA-p1;Tb927.10.9800:mRNA-p1	1;1	1;1	1;1	Tb927.11.10160:mRNA-p1 | transcript=Tb927.11.10160:mRNA | gene=Tb927.11.10160 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=60S ribosomal protein L22, putative | transcript_product=60S ribosomal protein L22, putative | location=Tb927_11_v5.1:	2	1	1	1	1	0	1	0	1	0	6.2	6.2	6.2	15.259	130	130;130	1	1	0	6.4157	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	6.2	0	59427	53870	5556.9	59427	53870	5556.9	0	0	0	19809	17957	1852.3	19809	17957	1852.3	0	0	0	88470	53531	0	0				89	283	True	314	496	823	823		
Tb927.10.9830:mRNA-p1	Tb927.10.9830:mRNA-p1	1	1	1	Tb927.10.9830:mRNA-p1 | transcript=Tb927.10.9830:mRNA | gene=Tb927.10.9830 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Mitochondrial ATP synthase subunit, putative | transcript_product=Mitochondrial ATP synthase subunit, putative | location	1	1	1	1	1	1	1	1	1	1	7.6	7.6	7.6	17.194	157	157	1	3	0	6.5134	By MS/MS	By MS/MS	0.26164	0.77088	40.522	3	2	Median	NaN	0.27906	NaN	0.81096	NaN	7.1671	1	2	1	1	Median	Median	7.6	7.6	343560	258110	85455	86146	70026	16120	257410	188080	69335	42945	32263	10682	10768	8753.3	2015	32177	23510	8666.8	0	0	173710	140870				90	8	True	10	14;15;16	17;18;19;20	19		
Tb927.11.1020:mRNA-p1	Tb927.11.1020:mRNA-p1	8	8	8	Tb927.11.1020:mRNA-p1 | transcript=Tb927.11.1020:mRNA | gene=Tb927.11.1020 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ribokinase, putative | transcript_product=ribokinase, putative | location=Tb927_11_v5.1:260682-261683(+) | protein_length	1	8	8	8	6	6	6	6	6	6	30.9	30.9	30.9	35.288	333	333	1	18	0	110.72	By MS/MS	By MS/MS	0.15783	0.43703	34.487	16	7	Leave out requantified	0.16293	0.14694	0.30268	0.49931	13.537	14.556	7	9	3	4	Leave out requantified	Leave out requantified	22.5	27.6	4447800	3706300	741450	1342700	966310	376410	3105000	2740000	365040	296520	247090	49430	89515	64421	25094	207000	182670	24336	2690200	814260	2110100	2657900				91	146;312;428;460;568;610;625;938	True;True;True;True;True;True;True;True	162;163;353;480;516;642;689;705;1041	253;254;255;256;562;785;843;844;845;846;847;1057;1148;1174;1175;1710;1711;1712	406;407;408;409;410;411;412;413;961;1293;1394;1395;1396;1397;1398;1719;1866;1909;1910;2790;2791;2792;2793	413;961;1293;1396;1719;1866;1910;2792	87	234
Tb927.11.10760:mRNA-p1	Tb927.11.10760:mRNA-p1	1	1	1	Tb927.11.10760:mRNA-p1 | transcript=Tb927.11.10760:mRNA | gene=Tb927.11.10760 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=kinesin-D | transcript_product=kinesin-D | location=Tb927_11_v5.1:2879951-2881804(+) | protein_length=617 | sequence_S	1	1	1	1	0	1	0	1	0	1	1.9	1.9	1.9	69.884	617	617	1	1	0	7.376		By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	1.9	64125	44121	20004	0	0	0	64125	44121	20004	1644.2	1131.3	512.93	0	0	0	1644.2	1131.3	512.93	0	0	42279	112440				92	791	True	883	1458	2411	2411		
