Gene ID	Organism	Genomic Location (Gene)	Product Description	Gene Name or Symbol	
Tb11.v5.1029	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:5,418,436..5,425,096(+)	variant surface glycoprotein (VSG), putative	N/A	
Tb11.1430	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:5,144,699..5,146,057(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb11.v5.0480	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:1,953,944..1,955,583(+)	DNA-directed RNA polymerase, alpha subunit, putative	N/A	
Tb11.v5.0309	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:839,351..841,491(+)	THT1 - hexose transporter, putative	N/A	
Tb11.v5.0174	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:211,357..213,193(-)	ribonuclease H1, putative	N/A	
Tb11.v5.0390	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:1,360,444..1,362,376(-)	serine/threonine protein phosphatase 2A regulatory subunit, putative	N/A	
Tb11.v5.0201	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:303,045..305,136(-)	tRNA pseudouridine synthase A, putative	N/A	
Tb927.11.8300	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,330,498..2,333,251(+)	hypothetical protein, conserved	N/A	
Tb927.3.3425	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:908,519..910,003(+)	28S beta ribosomal RNA	28S-beta	
Tb927.11.10140	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,714,698..2,715,775(+)	hypothetical protein, conserved	N/A	
Tb927.11.10490	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,792,724..2,794,548(+)	hypothetical protein, conserved	N/A	
Tb927.11.7780	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,203,448..2,205,418(-)	Mitochondrial import receptor subunit ATOM46	ATOM46	
Tb927.11.14140	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,746,455..3,748,363(+)	ethanolamine-phosphate cytidylyltransferase	ECT	
Tb927.11.14430	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,836,751..3,837,866(+)	proteasome regulatory non-ATP-ase subunit	RPN12	
Tb927.11.7213	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,022,555..2,023,880(-)	Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative	N/A	
Tb927.11.8580	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,392,316..2,394,594(+)	DNA polymerase kappa, putative	N/A	
Tb927.11.4180	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,220,527..1,224,443(-)	PSP1 C-terminal conserved region, putative	N/A	
Tb927.11.7470	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,120,125..2,120,948(-)	hypothetical protein, conserved	N/A	
Tb08.27P2.620	Trypanosoma brucei brucei TREU927	Tbrucei.chr8.100:111,879..115,170(-)	variant surface glycoprotein, degenerate	N/A	
Tb09.v4.0179	Trypanosoma brucei brucei TREU927	tryp_IXb-6g03.q1c:1,986..3,404(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb10.v4.0188	Trypanosoma brucei brucei TREU927	tryp_X-324h11.p1k:74,385..75,149(+)	hypothetical protein	N/A	
Tb927.3.4530	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:1,266,277..1,267,053(-)	hypothetical protein, conserved	N/A	
Tb927.5.1660	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:580,736..583,834(+)	pyruvate dehydrogenase phosphatase, putative	PDP	
Tb927.11.340	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:77,580..79,778(-)	hypothetical protein, conserved	N/A	
Tb927.10.11110	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,713,985..2,716,740(-)	hypothetical protein, conserved	N/A	
Tb927.4.5420	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:1,482,455..1,484,053(+)	variant surface glycoprotein (VSG, atypical), putative	N/A	
Tb927.5.2390	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:815,126..817,780(+)	hypothetical protein, conserved	N/A	
Tb927.5.5170	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:1,611,701..1,613,242(-)	variant surface glycoprotein, point mutation	N/A	
Tb927.8.650	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:179,692..183,769(-)	cation-transporting ATPase, putative	N/A	
Tb927.8.6100	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,780,800..1,784,921(+)	hypothetical protein, conserved	N/A	
Tb927.10.6280	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,590,476..1,591,255(-)	N-terminal glutamine amidase, putative	N/A	
Tb927.9.120	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:7,402..8,694(-)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb927.9.715	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:172,754..172,914(-)	hypothetical protein	N/A	
Tb927.9.12040	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,877,337..1,879,101(+)	cap-specific 2'-O-methyltransferase	MT57	
Tb927.2.6200	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:1,116,625..1,119,335(+)	adenosine transporter 2, putative	TbNT3	
Tb927.10.13180	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,204,646..3,208,384(-)	Nrap protein, putative	N/A	
Tb927.9.12610	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,978,809..1,981,016(+)	glycerol kinase, glycosomal	glk1	
Tb927.10.7850	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,963,145..1,964,130(-)	protein-L-isoaspartate, putative	N/A	
Tb927.10.10880	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,652,378..2,654,527(-)	ATP-binding cassette sub-family F member 1, putative	ABCF1	
Tb927.10.16120	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,964,899..3,966,910(+)	inosine-5'-monophosphate dehydrogenase	IMPDH1	
Tb927.8.3050	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:917,060..918,842(+)	Chitobiase/beta-hexosaminidase C-terminal domain containing protein, putative	TZP62	
Tb927.9.1230	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:313,768..314,955(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb927.9.12650	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,985,928..1,989,798(+)	ubiquitin-activating enzyme E1, putative	UBA1b	
Tb927.10.380	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:102,842..103,895(+)	kinetoplast ribosomal PPR-repeat containing protein 5	KRIPP5	
Tb927.2.1530	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:281,711..283,540(-)	28S alpha ribosomal RNA	28S-alpha	
Tb927.3.780	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:187,245..188,055(-)	proteasome alpha 7 subunit	TbPSA7	
Tb927.9.13920	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,180,729..2,181,174(-)	kinetoplastid membrane protein 11-1	KMP11-1	
Tb927.10.12850	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,121,168..3,123,224(-)	ttaggg binding factor	TRF	
Tb927.5.130	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:14,812..15,868(-)	variant surface glycoprotein (VSG)-related, putative	N/A	
Tb927.11.14220	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,771,742..3,776,285(+)	Regulator of ESAG9-1	REG9.1	
Tb927.8.1130	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:357,788..364,726(-)	protein phosphatase with EF-Hand domains, putative	N/A	
Tb927.8.3070	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:923,165..923,784(+)	hypothetical protein, conserved	N/A	
Tb927.8.6660	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,927,740..1,930,752(-)	paraflagellar rod component, putative	PFC1	
Tb927.8.4960	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,469,613..1,474,602(+)	hypothetical protein, conserved	N/A	
Tb927.8.3490	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,036,853..1,040,120(+)	Gryzun, putative trafficking through Golgi, putative	N/A	
Tb927.8.5940	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,742,397..1,743,847(+)	hypothetical protein, conserved	N/A	
Tb927.8.3890	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,159,755..1,162,242(-)	hypothetical protein, conserved	N/A	
Tb927.4.2800	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:740,935..742,477(+)	R3H-associated N-terminal domain containing protein, putative	N/A	
Tb927.5.5010	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:1,569,593..1,571,092(-)	variant surface glycoprotein, degenerate	N/A	
Tb927_09_v4.snoRNA.0042	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,684,739..1,684,813(-)	C/D snoRNA	N/A	
Tb927.10.15370	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,769,592..3,771,587(+)	DNA-directed RNA polymerases I and III subunit RPAC1, putative	RPC40	
Tb11.v5.0340	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:1,012,746..1,014,326(-)	ribonuclease HII, putative	N/A	
Tb11.v5.0745	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:3,835,441..3,844,728(+)	hypothetical protein, conserved	N/A	
Tb927.11.12365	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,303,083..3,303,596(+)	hypothetical protein	N/A	
Tb927.7.2985	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:749,923..750,442(+)	hypothetical protein, conserved	N/A	
Tb927.11.1930	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:566,030..569,148(+)	ubiquitin carboxyl-terminal hydrolase, putative	N/A	
Tb927.3.5290	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:1,483,878..1,487,020(+)	hypothetical protein, conserved	TZP104.4	
Tb927.10.2320	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:599,673..601,078(+)	Nucleoporin NUP41	NUP41	
Tb927.11.9410	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,580,543..2,581,110(+)	hypothetical protein	N/A	
Tb927.11.15890	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,206,699..4,209,665(-)	hypothetical protein, conserved	N/A	
Tb927.7.4640	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:1,228,025..1,230,427(-)	hypothetical protein, conserved	N/A	
Tb927.7.7500	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:2,168,765..2,175,127(+)	thymine-7-hydroxylase, putative	TLP7	
Tb927.9.2055	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:461,198..461,561(-)	hypothetical protein	N/A	
Tb927.9.1130	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:285,556..286,908(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb11.v5.0245	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:497,692..501,862(-)	protein kinase, putative	N/A	
Tb09.v4.0195	Trypanosoma brucei brucei TREU927	tryp_IXb-73h01.q1c:20,332..21,833(-)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb927.3.1260	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:312,251..312,852(+)	hypothetical protein, conserved	N/A	
Tb927.8.6920	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,993,910..1,994,794(-)	hypothetical protein, conserved	N/A	
Tb927.10.9280	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,297,231..2,300,146(+)	hypothetical protein, conserved	N/A	
Tb927.11.620	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:149,509..153,462(-)	Regulatory-associated protein of TOR1	Raptor	
Tb927.1.450	Trypanosoma brucei brucei TREU927	Tb927_01_v5.1:167,799..174,153(-)	retrotransposon hot spot protein (RHS, pseudogene), putative	N/A	
Tb927.8.7500	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:2,162,467..2,163,901(+)	hypothetical protein, conserved	N/A	
Tb927.10.1730	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:461,541..462,870(+)	Polyadenylation mediator complex protein PAMC3, putative	PAMC3	
Tb927.11.9650	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,623,003..2,624,750(-)	hypothetical protein, conserved	N/A	
Tb927.2.2120	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:403,883..405,837(-)	Serine/threonine-protein kinase NEK22, putative	NEK22	
Tb927.2.2900	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:554,078..554,648(+)	ARP2/3 complex subunit, putative	N/A	
Tb927.3.3950	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:1,107,175..1,109,585(+)	hypothetical protein, conserved	N/A	
Tb927.3.3690	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:1,030,530..1,032,991(+)	flagellar radial spoke protein-like, putative	N/A	
Tb927.3.3970	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:1,113,957..1,115,248(+)	Cell growth-regulating nucleolar protein, putative	N/A	
Tb927.4.4220	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:1,116,020..1,118,160(-)	small GTP-binding rab protein, putative	TbRX2	
Tb927.4.2680	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:708,681..711,657(+)	Zeta toxin, putative	N/A	
Tb927.4.1550	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:401,302..403,501(-)	hypothetical protein, conserved	N/A	
Tb927.4.4300	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:1,137,384..1,139,574(-)	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative	N/A	
Tb927.4.1500	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:381,073..388,002(-)	RNA editing associated helicase 2	REH2	
Tb927.5.2040	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:704,746..706,019(-)	hypothetical protein, conserved	N/A	
Tb927.5.3860	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:1,257,919..1,261,497(+)	tubulin tyrosine ligase, putative	N/A	
Tb927.6.2880	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:863,288..867,060(+)	kinesin, putative	N/A	
Tb927.6.5830	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:1,614,636..1,616,066(-)	variant surface glycoprotein, degenerate	N/A	
Tb927_06_v4.snoRNA.0023	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:614,180..614,247(-)	H/ACA-like snoRNA	N/A	
Tb927.6.2280	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:714,054..714,785(+)	prefoldin subunit, putative	N/A	
Tb927.7.2600	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:667,410..668,877(-)	class I transcription factor A, subunit 7	CITFA-7	
Tb927.7.4540	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:1,207,968..1,209,170(-)	hypothetical protein, conserved	N/A	
Tb927.7.6640	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:1,815,954..1,822,347(-)	hypothetical protein, conserved	N/A	
Tb927.7.4550	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:1,209,561..1,210,202(-)	Mitochondrial ribosomal protein L7/L12	MRPL7/12	
Tb927.8.2540	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:749,345..751,477(+)	3-ketoacyl-CoA thiolase	SCP2	
Tb927.8.6564	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,892,111..1,892,192(+)	tRNA Leucine	N/A	
Tb927.9.15930	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,524,900..2,525,987(+)	small GTPase, putative	RAB1B	
Tb927.9.9420	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,506,093..1,507,040(-)	hypothetical protein, conserved	N/A	
Tb927.9.6570	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,081,134..1,083,015(+)	hypothetical protein, conserved	N/A	
Tb927_09_v4.snoRNA.0076	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,679,013..1,679,039(-)	C/D snoRNA	N/A	
Tb927.9.6290	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,033,170..1,035,081(+)	arginine kinase	AK1	
Tb927.10.2540	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:660,548..661,492(+)	adenylate kinase, putative	ADKC	
Tb927.10.4370	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,133,224..1,134,576(-)	expression site-associated gene 3 (ESAG3) protein, putative	N/A	
Tb927.10.4680	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,184,071..1,185,127(-)	Mutt-Nudix-related hydrolase 5, putative	NH5	
Tb927.10.3950	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,045,318..1,046,873(-)	hypothetical protein, conserved	N/A	
Tb927.10.7070	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,780,019..1,780,772(+)	small nuclear RNA-activating protein	SNAP3	
Tb927.10.10720	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,603,807..2,605,463(-)	Tetraspanin family, putative	N/A	
Tb927.10.16180	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,975,308..3,976,478(+)	hypothetical protein, conserved	N/A	
Tb927.10.7580	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,905,906..1,908,949(-)	Exportin-5, putative	Xpo-5	
Tb927.10.1810	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:477,189..477,722(+)	RING-H2 zinc finger, putative	RBX1	
Tb927.10.10180	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,503,893..2,504,976(+)	Miro-like protein, putative	N/A	
Tb927.7.460	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:82,554..84,389(-)	protein farnesyltransferase beta subunit	PFT	
Tb927.7.7300	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:2,107,087..2,110,282(-)	ATP-dependent DEAD/H RNA helicase, putative	N/A	
Tb927.7.2560	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:655,397..659,312(-)	hypothetical protein, conserved	N/A	
Tb927.8.6720	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,946,288..1,948,172(-)	hypothetical protein, conserved	N/A	
Tb927.8.3523	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,053,326..1,053,397(-)	tRNA Cysteine	N/A	
Tb927.9.13150	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,079,636..2,080,698(+)	TFIIF-stimulated CTD phosphatase, putative	N/A	
Tb927.9.11110	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,752,836..1,760,159(-)	U5 snRNA-associated splicing factor	N/A	
Tb927_09_v4.snoRNA.0049	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,970,594..1,970,620(+)	C/D snoRNA	N/A	
Tb927.9.10170	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,604,247..1,604,908(-)	anaphase-promoting complex subunit 11	APC11	
Tb927.9.7150	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,156,514..1,160,292(+)	RNA pseudouridylate synthase protein, putative	N/A	
Tb927.10.14300	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,473,435..3,477,035(-)	MEKK-related kinase 1, putative	MRK1	
Tb927.10.14210	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,449,263..3,449,919(-)	TFIIH basal transcription factor subunit	TFB5	
Tb927.10.16430	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:4,087,714..4,088,436(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb927.10.5370	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,349,773..1,350,387(+)	40S ribosomal protein S10, putative	N/A	
Tb927.10.4580	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,170,043..1,171,216(-)	hypothetical protein, conserved	N/A	
Tb927.10.3310	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:851,936..854,936(+)	Component of motile flagella 76b	CMF76b	
Tb927_10_v5.snoRNA.0103	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,679,610..1,679,678(+)	unspecified product	N/A	
Tb927.10.13530	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,302,977..3,303,454(+)	hypothetical protein	N/A	
Tb927.10.7970	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,985,992..1,987,255(-)	Organic solute transporter Ostalpha, putative	N/A	
Tb927.10.3110	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:813,119..815,314(+)	DNA primase large subunit, putative	pril	
Tb927.11.18980	Trypanosoma brucei brucei TREU927	Tb927_11_RH_fork_v5.1:118,980..120,383(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb11.v5.0225	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:418,557..419,814(+)	invariant surface glycoprotein, putative	N/A	
Tb11.v5.1026	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:5,414,125..5,415,356(+)	procyclin-associated gene 2-like protein, putative	N/A	
Tb11.02.5430b	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:664,844..666,139(-)	hypothetical protein, conserved	N/A	
Tb11.v5.0973	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:4,966,602..4,967,327(-)	variant surface glycoprotein (VSG), putative	N/A	
Tb927.11.12260	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,278,822..3,280,715(+)	hypothetical protein, conserved	N/A	
Tb927.11.12320	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,293,339..3,296,669(+)	hypothetical protein, conserved	N/A	
Tb927.11.3350	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:978,569..983,169(+)	phospholipid-transporting ATPase 1-like protein, putative	N/A	
Tb927.11.9500	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,592,854..2,593,796(-)	hypothetical protein, conserved	N/A	
Tb927.11.4780	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,378,218..1,379,571(+)	pyruvate dehydrogenase (lipoamide) kinase, putative	PDHK	
Tb927.11.9670	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,626,967..2,628,609(-)	aminomethyltransferase, mitochondrial, putative	GCVT	
Tb927.11.10760	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,879,710..2,882,414(+)	kinesin-D	KIN-D	
Tb927.11.15300	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,055,402..4,056,482(-)	hypothetical protein, conserved	N/A	
Tb10.v4.0074	Trypanosoma brucei brucei TREU927	tryp_X-188b09.p2kB601:2,775..3,452(+)	expression site-associated gene 3 (ESAG3, pseudogene), fragment	N/A	
Tb10.v4.0201	Trypanosoma brucei brucei TREU927	tryp_X-36a02.p1c:9,595..10,080(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb927.1.4920	Trypanosoma brucei brucei TREU927	Tb927_01_v5.1:996,104..997,259(+)	hypothetical protein	N/A	
Tb927.1.3030	Trypanosoma brucei brucei TREU927	Tb927_01_v5.1:670,234..671,532(+)	KREL2	KREL2	
Tb927.1.3850	Trypanosoma brucei brucei TREU927	Tb927_01_v5.1:820,968..822,057(+)	Sec61beta family, putative	N/A	
Tb927.2.2540	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:500,416..501,338(-)	Ribosome biogenesis protein SLX9, putative	N/A	
Tb927.3.3450	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:979,492..980,186(+)	ADP-ribosylation factor-like protein 3, putative	ARL3A	
Tb927.3.3750	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:1,047,416..1,048,145(+)	paraflagellar rod component, putative	PFC7	
Tb927.3.3452	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:963,610..965,094(+)	28S beta ribosomal RNA	28S-beta	
Tb927.4.3020	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:798,455..802,879(+)	ATP-dependent DEAH-box RNA helicase, putative	N/A	
Tb927.4.2230	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:579,334..581,038(+)	dolichyl-P-Man:GDP-Man1GlcNAc2-PP-dolichyl alpha-1,3-mannosyltransferase, putative	N/A	
Tb927.4.5350	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:1,456,393..1,458,431(-)	3-methylcrotonyl-CoA carboxylase, pseudogene, putative (pseudogene)	N/A	
Tb927.4.4940	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:1,354,238..1,358,289(-)	SUMO-interacting motif-containing protein	N/A	
Tb927.5.2600	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:888,984..892,234(+)	methyltransferase domain containing protein, putative	N/A	
Tb927.5.840	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:344,639..347,962(+)	Nucleolar protein 111	NOP111	
Tb927.5.1300	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:481,542..484,043(+)	V-type proton ATPase subunit a, putative	VAa	
Tb927.6.5730	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:1,591,053..1,592,530(-)	variant surface glycoprotein, degenerate	N/A	
Tb927.6.520	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:227,084..227,802(+)	EP3-2 procyclin	EP3-2	
Tb927.8.6280	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,825,043..1,825,798(+)	cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative	N/A	
Tb11.v5.1000	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:5,199,257..5,205,676(+)	hypothetical protein, conserved	N/A	
Tb927.11.210	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:45,911..48,264(-)	hypothetical protein, conserved	N/A	
Tb927.3.3444	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:946,858..947,040(+)	M2 ribosomal RNA	M2	
Tb927.4.3600	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:918,023..918,388(-)	Transcription factor Pcc1, putative	N/A	
Tb927.11.12930	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,464,377..3,466,788(-)	DEAD-box helicase, putative	N/A	
Tb927.11.3550	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,046,881..1,047,776(+)	XPA-interacting protein, putative	N/A	
Tb927.11.7410	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,087,773..2,089,828(+)	MSP-A, putative	N/A	
Tb927.11.14750	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,922,681..3,923,959(-)	PSP1 C-terminal conserved region, putative	N/A	
Tb927.8.410	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:108,919..110,449(+)	variant surface glycoprotein, degenerate	N/A	
Tb927.11.16730	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,451,979..4,454,198(-)	dihydrolipoyl dehydrogenase	GCVL-2	
Tb927.11.9780	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,643,800..2,647,062(-)	Nucleoporin NUP119	NUP119	
